               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11816,            0.027611,            0.028967,          0.00092855,             0.09725,           0.0013734,           0.0003284,             0.10787,            0.024195,            0.019098,             0.07016,           0.0033155,           0.0033155
                   1,             0.10624,            0.024653,            0.019238,             0.79696,             0.05052,            0.022882,           0.0062906,            0.097131,            0.022676,            0.016772,            0.040128,           0.0066159,           0.0066159
                   2,            0.099174,            0.024107,             0.01682,             0.58704,            0.081181,            0.039409,            0.010598,             0.09839,            0.022929,            0.014912,            0.010062,           0.0098834,           0.0098834
                   3,            0.093544,             0.02378,            0.015159,             0.16024,             0.16511,            0.084007,            0.026758,            0.087002,            0.024851,            0.013787,           0.0098515,           0.0098515,           0.0098515
                   4,            0.090598,            0.024157,            0.014418,             0.13631,             0.14563,            0.088839,            0.033385,            0.084674,            0.023149,            0.012953,           0.0098515,           0.0098515,           0.0098515
                   5,            0.088827,            0.024416,            0.013369,             0.17095,             0.15984,             0.10589,            0.038873,            0.083987,            0.024364,            0.013929,            0.009802,            0.009802,            0.009802
                   6,            0.087166,            0.023148,            0.012895,             0.18894,             0.17663,             0.10703,            0.035807,            0.083057,            0.022787,            0.012834,           0.0097525,           0.0097525,           0.0097525
                   7,            0.085832,            0.023695,            0.012415,             0.24885,             0.19203,             0.13183,            0.042982,            0.081587,            0.023261,            0.012131,            0.009703,            0.009703,            0.009703
                   8,            0.086039,              0.0238,            0.012171,             0.18142,             0.18831,              0.1119,             0.03962,            0.081515,            0.023274,            0.012747,           0.0096535,           0.0096535,           0.0096535
                   9,             0.08429,            0.023492,             0.01188,             0.19634,             0.17059,             0.12863,            0.047683,            0.079578,            0.023212,            0.011495,            0.009604,            0.009604,            0.009604
                  10,            0.084057,            0.023905,            0.011044,             0.22666,             0.19097,             0.12745,            0.045156,            0.079654,            0.023298,            0.011833,           0.0095545,           0.0095545,           0.0095545
                  11,            0.083424,            0.023425,            0.011753,             0.26056,             0.16972,             0.12533,            0.044037,            0.080496,            0.023528,            0.011864,            0.009505,            0.009505,            0.009505
                  12,            0.083601,            0.023995,            0.011383,             0.24486,             0.16659,             0.12682,            0.042087,             0.07954,            0.023298,            0.011432,           0.0094555,           0.0094555,           0.0094555
                  13,            0.082728,            0.024329,            0.010881,             0.19306,             0.20719,             0.12504,            0.044932,            0.079593,             0.02291,            0.011512,            0.009406,            0.009406,            0.009406
                  14,             0.08243,            0.024117,            0.010194,             0.28697,             0.17462,             0.14676,            0.053507,            0.079147,            0.023082,            0.011509,           0.0093565,           0.0093565,           0.0093565
